<!--...-->	Визначає коментар в документі.
<a>	Створює посилання.
<abbr>	Визначає абревіатуру чи акронім.
<address>	Визначає контактну інформацію автора/власника документа або статті
<applet>	Визначае вбудований аплет.
<area>	Тег, який визначає інтерактивну область в зображенні-карті (елемент <map>), тобто при кліці на певну область зображення відбуваються
<article>	Тег `<article>` визначає незалежний, самодостатній зміст від іншої частини сайту.
<aside>	Блок з додатковою інформацією.
<audio>	Додає аудіозапис на веб-сторінку.
<b>	Робить текст жирним.
<base>	Змінює абсолютний шлях сторінки.
<basefont>	Задає шрифт за замовчуванням
<bdo>	Змінює напрямок тексту.
<big>	Робить текст більшим.
<blockquote>	Довга цитата.
<body>	Визначає кордоти тіла веб-сторінки
<br>	Створює перехід на новий рядок.
<button>	Визначає кнопку.
<canvas>	Використовується як контейнер для графіки
<caption>	Визначає назву таблиці.
<center>	Вирівнює текст по центру.
<cite>	Визначає назву твору
<code>	Вказує, що зміст теґа - програмний код.
<col>	Задає загальні властивості для однієї чи декількох колонок.
<colgroup>	Створює структурну групу, що об'єднує один або кілька стовпчиків.
<datalist>	Створює список варіантів.
<dd>	Визначення терміну.
<del>	Визначає текст котрий був видалений в новій версії документа
<details>	Визначає контент котрий користувач може приховати чи відобразити
<dfn>	Позначає термін в тексті.
<dialog>	Створює діалогове вікно
<dir>	Список з назв директорій.
<div>	Блок.
<dl>	Список термінів/визначень
<!DOCTYPE>	Задає версію HTML.
<dt>	Задає назву терміна
<em>	Акцентує увагу на тексті.
<embed>	Вставляє в html-документ зовнішній об'єкт.
<fieldset>	Групує пов`язані поля форми.
<figcaption>	Підпис до малюнка
<figure>	Групування елементів.
<font>	Задає колір, розмір і тип шрифту.
<footer>	Визначає футер (підвал) веб-сторінки
<form>	Визначає форму.
<frame>	Визначає фрейм на веб-сторінці
<frameset>	Визначає структуру фреймів
<h1>	Заголовок першого рівня.
<h2>	Заголовок другого рівня.
<h3>	Заголовок третього рівня.
<h4>	Заголовок четвертого рівня.
<h5>	Заголовок п'ятого рівня.
<h6>	Заголовок 6 рівня.
<head>	Визначає інформацію про документ
<header>	Позначає розділ HTML-сторінки як заголовок.
<hgroup>	Призначається для групування заголовків на веб-сторінці
<hr>	Горизонтальна лінія.
<html>	Вказує, що почався HTML-документ.
<i>	Виділяє текст курсивою.
<iframe>	Вставляє на сторінку фрейм
<img>	Відображає графічне зображення на веб-сторінці
<input>	Поле вводу даних.
<ins>	Визначає текст, котрий був доданий в новому документі
<kbd>	Позначає клавіші, що можуть бути натиснені.
<keygen>	Поле для генерації пари ключів.
<label>	Визначає мітку для елементу форми
<legend>	Заголовок до елементів, що згруповані за допомогою тега `fieldset`.
<li>	Визначає елемент списку
<link>	Тег `link` служить для зв'язку html-документа із зовнішнім файлом.
<main>	Визначає основний зміст документа.
<map>	Визначає карту-зображення для картинки
<mark>	Виділяє текст жовтим
<menu>	Відображає список пунктів меню.
<menuitem>	Додає нові пункти в контекстне меню
<meta>	Визначає метадані документа
<meter>	Створює візуальну шкалу.
<nav>	Набір навігаційних посилань.
<noscript>	Визначає альтернативний контент для користувачів у котрих не працює JavaScript
<object>	Визначає вбудований об'єкт.
<ol>	Визначає впорядкований список.
<optgroup>	Групує список опцій.
<option>	Створює пункт списку
<output>	Визначає результат розрахунку
<p>	Визначає текстовий абзац.
<param>	Задає параметри для об'єктів
<picture>	Являє собою контейнер для зберігання кількох елементів <source> , які підтримують елемент <img>
<pre>	Виводить попередньо відформатований текст
<progress>	Відображає хід виконання завдання.
<q>	Коротка цитата.
<rp>	Що показати в браузеру, котрий не має підтримки рубінових анотацій.
<rt>	Додає анотацію зверху чи знизу від тексту
<ruby>	Додає пояснення до тексту.
<s>	Визначає текст застарілим та закреслює його
<samp>	Визначає текст як вивід програми ябо скрипта
<script>	Додає на веб-сторінку JavaScript скрипт
<section>	Задає розділ документу
<select>	Створює елемент введення у вигляді списку.
<small>	Відображає текст зі зменшеним розміром шрифту
<source>	Визначає альтернативне джерело медіа-файлу для відтворення
<span>	Визначає унікальний ідентифікатор частини тексту
<strike>	Відображає текст закресленим
<strong>	Визначає важливий текст
<style>	Визначає стиль елементів веб-сторінки.
<sub>	Відображає текст у вигляді нижнього індексу.
<summary>	Визначає заголовок для теґу `<details>`
<sup>	Відображає шрифт у вигляді верхнього індексу.
<table>	Задає таблицю на HTML-сторінці
<tbody>	Визначає тіло таблиці.
<td>	Визначає комірку таблиці.
<textarea>	Область введення багаторядкового тексту.
<tfoot>	Задає нижній колонтитул таблиці.
<th>	Визначає клітинку-заголовок таблиці
<thead>	Визначає групу заголовків HTML-таблиці
<time>	Визначає час або дату.
<title>	Визначає заголовок веб-сторінки
<tr>	Визначає рядок в таблиці.
<track>	Визначає текстову доріжку до медіа-елементів
<tt>	Відображає текст моношининним шрифтом
<u>	Визначає підкреслений текст
<ul>	Визначає позначений(ненумерований) список
<var>	Використовується для виділення змінних з комп'ютерних програм.
<video>	Відображає відео на сайті.
<wbr>	Вказує браузеру місце, де допускається робити перенос рядка в тексті
